"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"1196"	"CRBA001456"	"P. Oromí"	"12/16/1998"	"Pico de la Cruz"	"El Paso"	"La Palma"	"Canary Islands"	28.756058	-17.855244	"Dysdera"	"Western Canarian"	"silvatica_P"
"1197"	"CRBA002281"	"M. Roca-Cusachs"	"2/7/2014"	"El Castillo"	"Garafía"	"La Palma"	"Canary Islands"	28.79636	-17.971169	"Dysdera"	"Western Canarian"	"silvatica_P"
"1198"	"CRBA002306"	"M. Roca-Cusachs"	"4/4/2014"	"Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1199"	"CRBA002322"	"M. Roca-Cusachs"	"4/4/2014"	"Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1200"	"CRBA002327"	"M. Roca-Cusachs"	"4/4/2014"	"Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1201"	"CRBA002346"	"T. Domingo-Quero"	"5/17/2001"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1202"	"CRBA002347"	"T. Domingo-Quero"	"1/10/2000"	"Barranco las Traves (PNCT)"	"El Paso"	"La Palma"	"Canary Islands"	28.717984	-17.893314	"Dysdera"	"Western Canarian"	"silvatica_P"
"1203"	"CRBA002348"	"T. Domingo-Quero"	"5/31/2001"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1204"	"CRBA002349"	"T. Domingo-Quero"	"8/24/2000"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1205"	"CRBA002350"	"T. Domingo-Quero"	"6/6/2001"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1206"	"CRBA002351"	"A. Sánchez-Ruiz & T. Domingo-Quero"	"4/27/2001"	"Tenerra (Parte alta) (PNCT)"	"El Paso"	"La Palma"	"Canary Islands"	28.719605	-17.899636	"Dysdera"	"Western Canarian"	"silvatica_P"
"1207"	"CRBA002352"	"T. Domingo-Quero"	"5/23/2001"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1208"	"CRBA002353"	"T. Domingo-Quero"	"5/23/2001"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1209"	"CRBA002354"	"T. Domingo-Quero"	"6/20/2001"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1210"	"CRBA002355"	"T. Domingo-Quero"	"6/23/2000"	"Barranco las Traves (PNCT)"	"El Paso"	"La Palma"	"Canary Islands"	28.717984	-17.893314	"Dysdera"	"Western Canarian"	"silvatica_P"
"1211"	"CRBA002358"	"T. Domingo-Quero"	"9/14/2000"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1212"	"CRBA002463"	"M. Roca-Cusachs"	"11/25/2014"	"Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1213"	"CRBA003555"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1214"	"CRBA003556"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1215"	"CRBA003557"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1216"	"CRBA003558"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1217"	"CRBA003559"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1218"	"CRBA003560"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1219"	"CRBA003561"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1220"	"CRBA003562"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1221"	"CRBA003579"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1222"	"CRBA003580"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1223"	"CRBA003581"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1224"	"CRBA003582"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1225"	"CRBA003583"	"Arnedo & Bellvert"	"17/3/2019"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1226"	"CRBA003589"	"Arnedo & Bellvert"	"17/3/2019"	"El Castillo"	"Garafía"	"La Palma"	"Canary Islands"	28.79636	-17.971169	"Dysdera"	"Western Canarian"	"silvatica_P"
"1227"	"CRBA003591"	"Arnedo & Bellvert"	"17/3/2019"	"SE El Castillo (small lava tube)"	"Garafía"	"La Palma"	"Canary Islands"	28.790783	-17.948843	"Dysdera"	"Western Canarian"	"silvatica_P"
"1228"	"CRBA003592"	"Arnedo & Bellvert"	"17/3/2019"	"SE El Castillo (small lava tube)"	"Garafía"	"La Palma"	"Canary Islands"	28.790783	-17.948843	"Dysdera"	"Western Canarian"	"silvatica_P"
"1229"	"NMH000226"	"P. Oromí"	"1/15/1994"	"Juan Adalid"	"Garafía"	"La Palma"	"Canary Islands"	28.843639	-17.90635	"Dysdera"	"Western Canarian"	"silvatica_P"
"1230"	"NMH001395"	"N. Macías & D. Hernández"	"4/2/2008"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1231"	"NMH001396"	"N. Macías & D. Hernández"	"4/2/2008"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1232"	"NMH001397"	"N. Macías & D. Hernández"	"4/2/2008"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1233"	"NMH001398"	"N. Macías & D. Hernández"	"4/2/2008"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1234"	"NMH001399"	"N. Macías & D. Hernández"	"4/2/2008"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1235"	"NMH001400"	"N. Macías & D. Hernández"	"4/2/2008"	"Pinar de Roque Faro"	"Garafía"	"La Palma"	"Canary Islands"	28.798556	-17.879149	"Dysdera"	"Western Canarian"	"silvatica_P"
"1236"	"NMH002925"	"M. Roca-Cusachs"	"5/7/2014"	"Cueva de Los Palmeros"	"Fuencaliente"	"La Palma"	"Canary Islands"	28.507538	-17.856808	"Dysdera"	"Western Canarian"	"silvatica_P"
"1237"	"UB2648_109"	"H. Enghoff"	"3/8/1987"	"Roque de Los Muchachos (PNCT)"	"Garafía"	"La Palma"	"Canary Islands"	28.76088	-17.885206	"Dysdera"	"Western Canarian"	"silvatica_P"
"1238"	"UB2759"	"P. Oromí"	"1/15/1994"	"Juan Adalid"	"Garafía"	"La Palma"	"Canary Islands"	28.843639	-17.90635	"Dysdera"	"Western Canarian"	"silvatica_P"
"1239"	"UB2799_115"	"P. Oromí"	"1/15/1994"	"Juan Adalid"	"Garafía"	"La Palma"	"Canary Islands"	28.843639	-17.90635	"Dysdera"	"Western Canarian"	"silvatica_P"
"1240"	"UB2815"	"P. Oromí"	"2/1/1994"	"Juan Adalid"	"Garafía"	"La Palma"	"Canary Islands"	28.843639	-17.90635	"Dysdera"	"Western Canarian"	"silvatica_P"
"1241"	"UB2947"	"M. A. Arnedo"	"10/31/1994"	"Pista de Machín"	"Garafía"	"La Palma"	"Canary Islands"	28.78971	-17.896884	"Dysdera"	"Western Canarian"	"silvatica_P"
"1242"	"UB2960"	"M. A. Arnedo"	"10/28/1994"	"Pista de Machín"	"Garafía"	"La Palma"	"Canary Islands"	28.78971	-17.896884	"Dysdera"	"Western Canarian"	"silvatica_P"
"1243"	"UB4177_Freezer"	"M. A. Arnedo"	"10/31/1994"	"Pista de Machín"	"Garafía"	"La Palma"	"Canary Islands"	28.78971	-17.896884	"Dysdera"	"Western Canarian"	"silvatica_P"
"1244"	"CRBA001336"	"P. Oromí"	"5/16/1984"	"Fuente Mencáfite"	"El Golfo"	"El Hierro"	"Canary Islands"	27.735497	-18.085804	"Dysdera"	"Western Canarian"	"silvatica_H"
"1245"	"CRBA001341"	"GIET"	"2/14/2004"	"Hoya del Pino"	"Frontera"	"El Hierro"	"Canary Islands"	27.737154	-18.046305	"Dysdera"	"Western Canarian"	"silvatica_H"
"1246"	"CRBA002059"	"GIET"	"1/15/2010"	"Pista del Mercader"	"El Pinar"	"El Hierro"	"Canary Islands"	27.712944	-18.022175	"Dysdera"	"Western Canarian"	"silvatica_H"
"1247"	"CRBA002060"	"GIET"	"6/28/2009"	"Cueva de Longueras"	"Frontera"	"El Hierro"	"Canary Islands"	27.74673	-18.026256	"Dysdera"	"Western Canarian"	"silvatica_H"
"1248"	"CRBA002061"	"H. Lopez"	"7/21/2011"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1249"	"CRBA002842"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1250"	"CRBA002843"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1251"	"CRBA002844"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1252"	"CRBA002845"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1253"	"CRBA002858"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1254"	"CRBA002859"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1255"	"CRBA002860"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1256"	"CRBA002861"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1257"	"CRBA002862"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1258"	"CRBA002863"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1259"	"CRBA002864"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1260"	"CRBA002865"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1261"	"CRBA002866"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
"1262"	"CRBA002867"	"Arnedo, Bellvert & Rozas"	"3/22/2017"	"Mirador de Bascos"	"Frontera"	"El Hierro"	"Canary Islands"	27.754861	-18.118218	"Dysdera"	"Western Canarian"	"silvatica_H"
